"orig","dest","idx3","idx4","value"
"1","1","1","1",3.59137531811316
"2","1","1","1",2.34861713020476
"3","1","1","1",9.22865145106639
"4","1","1","1",13.0388049767267
"5","1","1","1",8.55587285409016
"6","1","1","1",5.38848320440618
"1","2","1","1",3.83569525369325
"2","2","1","1",2.24951754729241
"3","2","1","1",5.13911715331511
"4","2","1","1",7.30805707783014
"5","2","1","1",3.89463177037794
"6","2","1","1",3.9973680037178
"1","3","1","1",17.7712384319886
"2","3","1","1",6.9896799608625
"3","3","1","1",6.80796529090789
"4","3","1","1",9.62366552035782
"5","3","1","1",6.86131975204501
"6","3","1","1",8.8563677263177
"1","4","1","1",12.3872893073086
"2","4","1","1",6.14274975665824
"3","4","1","1",8.09871592146078
"4","4","1","1",20.0510255109469
"5","4","1","1",12.0554942573294
"6","4","1","1",13.1349394507488
"1","5","1","1",7.19899348303608
"2","5","1","1",3.61182256015224
"3","5","1","1",4.87094111027485
"4","5","1","1",11.0585809720809
"5","5","1","1",11.9150606528941
"6","5","1","1",7.46494795785123
"1","6","1","1",9.74571348335707
"2","6","1","1",5.31355756550152
"3","6","1","1",7.11368348448123
"4","6","1","1",10.6260722042222
"5","6","1","1",5.55724173755278
"6","6","1","1",6.38613353072378
"1","1","2","1",3.69455789205064
"2","1","2","1",2.34861713020476
"3","1","2","1",9.8035533875447
"4","1","2","1",13.0388049767267
"5","1","2","1",8.74387680220363
"6","1","2","1",5.69676802845922
"1","2","2","1",4.51978339123575
"2","2","2","1",2.35541564871137
"3","2","2","1",5.58029316124746
"4","2","2","1",6.77646450500973
"5","2","2","1",4.07965478214724
"6","2","2","1",4.28041963351098
"1","3","2","1",19.5486286924367
"2","3","2","1",7.22102634667841
"3","3","2","1",8.02678284721433
"4","3","2","1",9.38032286214527
"5","3","2","1",8.12966759594307
"6","3","2","1",9.99552236476142
"1","4","2","1",13.6797396964611
"2","4","2","1",6.3362660445911
"3","4","2","1",8.80519671416755
"4","4","2","1",19.3320713130757
"5","4","2","1",11.8885530372303
"6","4","2","1",13.3987171364203
"1","5","2","1",7.58178600159331
"2","5","2","1",3.4855253379294
"3","5","2","1",5.57276460619473
"4","5","2","1",11.2989555169734
"5","5","2","1",11.8558742064315
"6","5","2","1",7.70643748051069
"1","6","2","1",10.0629631409019
"2","6","2","1",5.19386992873011
"3","6","2","1",7.43464968173209
"4","6","2","1",10.4976886181216
"5","6","2","1",6.50000108548554
"6","6","2","1",6.38613353072378
"1","1","3","1",3.69455789205064
