"Var1","Var2","Var3","Var4","value"
"P","D","B","A",10.8102077450812
"Q","D","B","A",6.8124121564284
"R","D","B","A",8.92305004544332
"S","D","B","A",3.79507534143861
"T","D","B","A",6.3965587479338
"U","D","B","A",4.61210022385841
"A","E","B","A",2.91301556156651
"B","E","B","A",7.22197898746213
"C","E","B","A",6.28237640029565
"D","E","B","A",5.794900897022
"E","E","B","A",3.59492548537012
"F","E","B","A",4.73784797668022
"G","E","B","A",3.73211121801991
"H","E","B","A",5.67184343513607
"I","E","B","A",5.12654869507726
"J","E","B","A",4.31775455513031
"K","E","B","A",3.98013052377367
"L","E","B","A",4.82271162482398
"M","E","B","A",3.98748963645303
"N","E","B","A",5.75049188771702
"O","E","B","A",3.59237316945397
"P","E","B","A",6.03619884801032
"Q","E","B","A",4.17910987623376
"R","E","B","A",5.61559010314783
"S","E","B","A",2.16790822075943
"T","E","B","A",4.10984324469012
"U","E","B","A",2.77744516199234
"A","F","B","A",3.78703734577016
"B","F","B","A",7.67159296745832
"C","F","B","A",6.92804415795876
"D","F","B","A",6.3733300173481
"E","F","B","A",3.78296203707641
"F","F","B","A",5.54170432391276
"G","F","B","A",3.78624210897361
"H","F","B","A",6.61243066618621
"I","F","B","A",5.50921146910904
"J","F","B","A",4.01656120977182
"K","F","B","A",3.7859685027547
"L","F","B","A",5.30532235304756
"M","F","B","A",3.72926584752583
"N","F","B","A",5.93287453545127
"O","F","B","A",5.35944122898313
"P","F","B","A",7.46079969390439
"Q","F","B","A",4.90092979742089
"R","F","B","A",6.63289472552194
"S","F","B","A",3.03983187375345
"T","F","B","A",4.75063407545334
"U","F","B","A",3.17909267027586
"A","A","C","A",10.3564873538101
"B","A","C","A",17.6250880756617
"C","A","C","A",15.0273568260271
"D","A","C","A",17.2194202213537
"E","A","C","A",8.39975304554596
"F","A","C","A",16.722113848975
"G","A","C","A",8.90513509136882
"H","A","C","A",14.0845693130978
"I","A","C","A",15.4918395934411
"J","A","C","A",11.6864228557394
"K","A","C","A",11.3995657840508
"L","A","C","A",14.6069472327583
"M","A","C","A",12.1712837383845
"N","A","C","A",14.4741408276386
"O","A","C","A",15.6800522318813
"P","A","C","A",18.0912825170834
"Q","A","C","A",14.0516005727919
"R","A","C","A",12.770320988438
"S","A","C","A",7.12056969312715
"T","A","C","A",11.9667713674503
"U","A","C","A",7.96563257984491
"A","B","C","A",6.3355485585868
"B","B","C","A",9.56933083038652
"C","B","C","A",8.95471666347002
"D","B","C","A",9.63657059544138
"E","B","C","A",4.95603488267778
"F","B","C","A",9.68979718608861
"G","B","C","A",5.39320741946411
"H","B","C","A",8.34704481134169
"I","B","C","A",8.33194055193183
"J","B","C","A",5.87682503221729
"K","B","C","A",6.07326478373776
"L","B","C","A",7.90893554636663
"M","B","C","A",6.83437630050504
"N","B","C","A",6.98567189010098
"O","B","C","A",7.91133637762445
"P","B","C","A",10.3457763831483
"Q","B","C","A",7.58015108408428
"R","B","C","A",6.79864123151654
"S","B","C","A",3.77776895252973
"T","B","C","A",5.84440181144112
"U","B","C","A",3.43873975428087
"A","C","C","A",11.3258718941463
"B","C","C","A",15.9744770763601
"C","C","C","A",16.0359760581344
"D","C","C","A",10.9076827205198
"E","C","C","A",11.3503560635904
"F","C","C","A",14.2018302699024
"G","C","C","A",8.60938230034745
"H","C","C","A",16.5491883487944
"I","C","C","A",12.5055952611265
"J","C","C","A",7.9201386815976
"K","C","C","A",11.1624669551041
"L","C","C","A",12.7082289340933
"M","C","C","A",8.58325452799673
"N","C","C","A",9.57145921376122
"O","C","C","A",12.4336935011239
"P","C","C","A",19.9655793476096
"Q","C","C","A",13.5357277418354
"R","C","C","A",13.3572481388073
"S","C","C","A",6.80454045690074
"T","C","C","A",11.4794675649521
"U","C","C","A",6.42428751142609
"A","D","C","A",14.2523467446539
"B","D","C","A",17.056044827117
"C","D","C","A",16.7391653349383
"D","D","C","A",16.9915126369239
"E","D","C","A",12.6096969693581
"F","D","C","A",14.9873580978322
"G","D","C","A",11.0809333393816
"H","D","C","A",18.4096438443494
"I","D","C","A",11.3936105798961
"J","D","C","A",7.59148655186327
"K","D","C","A",10.8445048430519
"L","D","C","A",14.8062144436861
"M","D","C","A",8.52654047876996
"N","D","C","A",9.63499225783068
"O","D","C","A",8.9915848430325
"P","D","C","A",15.7209437655892
"Q","D","C","A",10.0760100403614
"R","D","C","A",12.8471258709594
"S","D","C","A",4.83009510961469
"T","D","C","A",8.61975671649842
"U","D","C","A",4.5350595652093
"A","E","C","A",3.17428301485302
"B","E","C","A",12.5876009855276
"C","E","C","A",11.4164278555734
"D","E","C","A",11.7498942692482
"E","E","C","A",10.0228956917383
"F","E","C","A",11.1410071026232
"G","E","C","A",6.9461332295553
"H","E","C","A",10.3096655540047
"I","E","C","A",7.13952305412753
"J","E","C","A",6.468949485193
"K","E","C","A",8.04789978714405
"L","E","C","A",10.6754652337784
"M","E","C","A",9.00953646064009
"N","E","C","A",9.6303719529766
"O","E","C","A",4.31036254179418
"P","E","C","A",10.635349290491
"Q","E","C","A",8.27679889315344
"R","E","C","A",10.6358363893384
"S","E","C","A",4.12626448768738
"T","E","C","A",8.78132256662717
"U","E","C","A",4.58011410381196
"A","F","C","A",10.5596478445296
"B","F","C","A",13.1388667135813
"C","F","C","A",11.5735315872795
"D","F","C","A",18.1646660019897
"E","F","C","A",11.1587668948843
"F","F","C","A",16.5864953515893
"G","F","C","A",10.226870068734
"H","F","C","A",14.8012843156086
"I","F","C","A",11.189169575582
"J","F","C","A",7.00885073327687
"K","F","C","A",9.55301866276097
"L","F","C","A",14.8740275657118
"M","F","C","A",8.664758071021
"N","F","C","A",9.80947445013151
"O","F","C","A",11.4658181395375
"P","F","C","A",13.3240483032274
"Q","F","C","A",12.9411721705972
"R","F","C","A",15.3112898162479
"S","F","C","A",5.98507217417937
"T","F","C","A",10.3135140581914
"U","F","C","A",6.36878110973784
"A","A","D","A",6.10706840101166
"B","A","D","A",14.651023668126
"C","A","D","A",11.9101535392415
"D","A","D","A",12.7501269548649
"E","A","D","A",7.91233398423705
"F","A","D","A",12.3500013940226
"G","A","D","A",5.51112719792353
"H","A","D","A",13.024466921469
"I","A","D","A",10.6570575991959
"J","A","D","A",8.9379510624006
"K","A","D","A",8.48698473593171
"L","A","D","A",10.0258719503798
"M","A","D","A",9.4273424832149
"N","A","D","A",10.843111145607
"O","A","D","A",12.863653431717
"P","A","D","A",13.1443237975725
"Q","A","D","A",11.2263718247131
"R","A","D","A",11.2680869178261
"S","A","D","A",4.58267250024179
"T","A","D","A",9.50635050047729
"U","A","D","A",6.43161126526935
"A","B","D","A",4.84043829878247
"B","B","D","A",8.6074986377168
"C","B","D","A",7.1122159726724
"D","B","D","A",7.38177688397655
"E","B","D","A",5.0074537992877
"F","B","D","A",7.28489809110894
"G","B","D","A",3.75464547268684
"H","B","D","A",8.29998764413765
"I","B","D","A",6.97122630000495
"J","B","D","A",5.75963491020699
"K","B","D","A",5.52086675285598
"L","B","D","A",5.63560152832654
"M","B","D","A",5.83504462553087
"N","B","D","A",6.94592340830571
"O","B","D","A",7.44510250895934
"P","B","D","A",8.39820256937745
"Q","B","D","A",7.28309072916478
"R","B","D","A",7.10566157176261
"S","B","D","A",2.4553352496382
"T","B","D","A",5.99429980919611
"U","B","D","A",3.94042518068886
"A","C","D","A",13.6152263584763
"B","C","D","A",14.6466594541423
"C","C","D","A",14.741610948168
"D","C","D","A",11.3402574484567
"E","C","D","A",14.7432907618431
"F","C","D","A",15.2037639745895
"G","C","D","A",5.48732138343276
"H","C","D","A",15.223120106255
"I","C","D","A",15.8683902009993
"J","C","D","A",10.4389475138192
"K","C","D","A",12.2897954765874
"L","C","D","A",11.4091637729147
"M","C","D","A",10.5747973198253
"N","C","D","A",12.5031179208666
"O","C","D","A",15.7134208316539
"P","C","D","A",17.7313676659532
"Q","C","D","A",12.5793753760653
"R","C","D","A",14.8280718214735
"S","C","D","A",7.28978278667574
"T","C","D","A",10.456041564358
"U","C","D","A",6.94448838933202
"A","D","D","A",15.0231070501379
"B","D","D","A",20.6899783458986
"C","D","D","A",17.6634417592493
"D","D","D","A",16.5331494492189
"E","D","D","A",14.9966375862107
"F","D","D","A",19.8399987619402
"G","D","D","A",11.1750787990636
"H","D","D","A",22.7806274244954
"I","D","D","A",20.660666129753
"J","D","D","A",15.2674432370771
"K","D","D","A",13.3402101569521
"L","D","D","A",15.6194619888323
"M","D","D","A",13.3240805297863
"N","D","D","A",18.7008211733996
"O","D","D","A",16.8095904091284
"P","D","D","A",24.090234349138
"Q","D","D","A",14.3562307903282
"R","D","D","A",21.3232229727824
"S","D","D","A",6.46458279650636
"T","D","D","A",15.3913542715011
"U","D","D","A",10.0650476241173
"A","E","D","A",5.77179199053224
"B","E","D","A",12.2355481143832
"C","E","D","A",11.4701765371695
"D","E","D","A",10.7126594785359
"E","E","D","A",9.39402721393218
"F","E","D","A",10.2303916655886
"G","E","D","A",5.62071849822913
"H","E","D","A",13.7952102583457
"I","E","D","A",10.3359996015718
"J","E","D","A",9.45250525049829
"K","E","D","A",8.93553839401772
"L","E","D","A",10.0904010377848
"M","E","D","A",9.97147955202171
"N","E","D","A",12.1692201576853
"O","E","D","A",7.7291709807616
"P","E","D","A",11.7520997799984
"Q","E","D","A",8.68814942682643
"R","E","D","A",12.7518652978313
"S","E","D","A",3.50316548669189
"T","E","D","A",9.3016865937748
"U","E","D","A",5.70950384314234
"A","F","D","A",8.37069903466005
"B","F","D","A",16.057321609167
"C","F","D","A",14.1599454656151
"D","F","D","A",15.6668221744373
"E","F","D","A",12.2945966855653
"F","F","D","A",15.0223455941045
"G","F","D","A",7.82851042989264
"H","F","D","A",18.5759340337792
"I","F","D","A",14.5662177095128
"J","F","D","A",11.2219796588292
"K","F","D","A",10.4033388599767
"L","F","D","A",13.1518668261683
"M","F","D","A",10.7596710439681
"N","F","D","A",15.3286538442796
"O","F","D","A",13.8802738629415
"P","F","D","A",18.6623837687208
"Q","F","D","A",11.9886309353198
"R","F","D","A",18.064643582324
"S","F","D","A",6.85430821299294
"T","F","D","A",11.8353534577612
"U","F","D","A",8.02388356456093
"A","A","E","A",4.98584410860824
"B","A","E","A",10.534234052419
"C","A","E","A",9.76211638780264
"D","A","E","A",9.217632830266
"E","A","E","A",6.38950651647831
"F","A","E","A",8.47995838714668
"G","A","E","A",4.69733022727793
"H","A","E","A",7.34873391379343
"I","A","E","A",6.61145463095033
"J","A","E","A",7.36930938777868
"K","A","E","A",5.42734151826685
"L","A","E","A",6.40120515547878
"M","A","E","A",6.2822140464218
"N","A","E","A",6.38238872705194
"O","A","E","A",8.12915703750456
"P","A","E","A",8.44788108538845
"Q","A","E","A",7.04896504545924
"R","A","E","A",8.10630602769365
"S","A","E","A",2.98972508518845
"T","A","E","A",6.03434262546111
"U","A","E","A",4.24581417990769
"A","B","E","A",3.82245589826793
"B","B","E","A",5.82804793327827
"C","B","E","A",5.70846952073046
"D","B","E","A",5.2637855579918
"E","B","E","A",3.54691742658886
"F","B","E","A",4.83618464892143
"G","B","E","A",2.71823580532816
"H","B","E","A",4.44061168280989
"I","B","E","A",3.55567483988185
"J","B","E","A",3.94881722441937
"K","B","E","A",3.64226260737584
"L","B","E","A",3.10547087571198
"M","B","E","A",3.37858428102758
"N","B","E","A",3.04863630298666
"O","B","E","A",3.30106041794032
"P","B","E","A",4.05082720007413
"Q","B","E","A",4.39779320112611
"R","B","E","A",3.91106072339467
"S","B","E","A",1.44459193919436
"T","B","E","A",3.07648266025788
"U","B","E","A",2.00236699926705
"A","C","E","A",12.2839791542312
"B","C","E","A",14.9585334134486
"C","C","E","A",12.9967432477245
"D","C","E","A",8.50264912935621
"E","C","E","A",9.64705443806859
"F","C","E","A",12.6097273514967
"G","C","E","A",4.66955391144522
"H","C","E","A",11.9819263578445
"I","C","E","A",8.60100502772982
"J","C","E","A",7.25452322835386
"K","C","E","A",8.90618332299736
"L","C","E","A",7.76403261619076
"M","C","E","A",6.40851404965604
"N","C","E","A",6.58037005140034
"O","C","E","A",9.01422230749747
"P","C","E","A",11.0060664206165
"Q","C","E","A",10.0515967492234
"R","C","E","A",9.20293776755555
"S","C","E","A",4.48133771386738
"T","C","E","A",8.57195895832599
"U","C","E","A",5.09491833179456
"A","D","E","A",12.4528454563772
"B","D","E","A",16.4036884502334
"C","D","E","A",17.3283421562898
"D","D","E","A",12.6014852104727
"E","D","E","A",9.64495264077565
"F","D","E","A",13.4460896236097
"G","D","E","A",7.53886480735554
"H","D","E","A",15.3137121067577
"I","D","E","A",9.72248762236588
"J","D","E","A",10.6139183681017
"K","D","E","A",10.9315863229768
"L","D","E","A",9.55893504327372
"M","D","E","A",10.1997288775797
"N","D","E","A",8.98952687184582
"O","D","E","A",10.890526878254
"P","D","E","A",12.4810679273407
"Q","D","E","A",10.70534923856
"R","D","E","A",10.8733337228607
"S","D","E","A",3.74242432742436
"T","D","E","A",9.60656650360858
"U","D","E","A",5.74328805335826
"A","E","E","A",5.86964391557875
"B","E","E","A",14.6716432188357
"C","E","E","A",14.4905047859756
"D","E","E","A",9.09696615926131
"E","E","E","A",10.3558944848436
"F","E","E","A",13.3022268929021
"G","E","E","A",7.95255474029124
"H","E","E","A",13.0300694802173
"I","E","E","A",9.74311974711289
"J","E","E","A",11.1149565519871
"K","E","E","A",8.56164527924856
"L","E","E","A",10.4640363391176
"M","E","E","A",9.79746381339318
"N","E","E","A",13.5501925024662
"O","E","E","A",12.7251597966493
"P","E","E","A",15.3555734139985
"Q","E","E","A",9.98207590750714
"R","E","E","A",11.642056564752
"S","E","E","A",4.37757250252012
"T","E","E","A",10.696256654408
"U","E","E","A",6.83810913191758
"A","F","E","A",6.60650629780463
"B","F","E","A",12.3724544239034
"C","F","E","A",14.7928302746854
"D","F","E","A",10.9646682338133
"E","F","E","A",8.46826444952603
"F","F","E","A",11.5017787076876
"G","F","E","A",6.70162946921712
"H","F","E","A",11.6856465889286
"I","F","E","A",8.69006233985599
"J","F","E","A",8.56014251141086
"K","F","E","A",7.98935387552434
"L","F","E","A",8.17766062588529
"M","F","E","A",9.35716038906516
"N","F","E","A",8.6881376544049
"O","F","E","A",11.4150150514593
"P","F","E","A",11.3064835309687
"Q","F","E","A",10.3973264085638
"R","F","E","A",10.7620808542528
"S","F","E","A",4.31776313893629
"T","F","E","A",9.20504057982007
"U","F","E","A",5.43401391647566
"A","A","F","A",5.03493256417616
"B","A","F","A",11.0783910965607
"C","A","F","A",9.11030855001673
"D","A","F","A",9.00701641056809
"E","A","F","A",5.98168727330499
"F","A","F","A",8.4328997559565
"G","A","F","A",4.66969521211188
"H","A","F","A",6.46527648718596
"I","A","F","A",6.35631693893487
"J","A","F","A",6.48597620221813
"K","A","F","A",5.47227014673444
"L","A","F","A",7.57026741733696
"M","A","F","A",6.13526668251651
"N","A","F","A",7.07584485024707
"O","A","F","A",7.88699187797537
"P","A","F","A",9.59346418251057
"Q","A","F","A",6.26059185398825
"R","A","F","A",8.38886442740073
"S","A","F","A",3.72929339598114
"T","A","F","A",6.32174484870848
"U","A","F","A",4.53825873075936
"A","B","F","A",3.86286625445912
"B","B","F","A",6.91919565214707
"C","B","F","A",6.15469510937392
"D","B","F","A",5.6752373500392
"E","B","F","A",4.65156511281225
"F","B","F","A",6.17101711926597
"G","B","F","A",3.41271897812259
"H","B","F","A",5.15853349252913
"I","B","F","A",4.35906700543854
"J","B","F","A",4.21026081686135
"K","B","F","A",3.67210517594483
"L","B","F","A",4.77876977537709
"M","B","F","A",4.14281337836772
"N","B","F","A",4.17523293708925
"O","B","F","A",4.71239317270609
"P","B","F","A",6.36904435075414
"Q","B","F","A",4.09934672263829
"R","B","F","A",4.73777764331321
"S","B","F","A",2.32030676203149
"T","B","F","A",3.85594284557084
"U","B","F","A",2.67861708956763
"A","C","F","A",10.1164175272329
"B","C","F","A",16.3608606657738
"C","C","F","A",15.5030529070046
"D","C","F","A",10.9384845755321
"E","C","F","A",12.312210603035
"F","C","F","A",13.5413265138285
"G","C","F","A",7.58513537827002
"H","C","F","A",13.9564629473402
"I","C","F","A",11.1808969402505
"J","C","F","A",9.8433102336993
"K","C","F","A",10.34955095646
"L","C","F","A",10.1541100550598
"M","C","F","A",7.95697959900142
"N","C","F","A",10.6024538056653
"O","C","F","A",12.1270364567363
"P","C","F","A",15.2886243159417
"Q","C","F","A",10.7456484022756
"R","C","F","A",12.7919802370354
"S","C","F","A",6.4244363705142
"T","C","F","A",9.98317649421526
"U","C","F","A",6.36714361781795
"A","D","F","A",11.4311133213485
"B","D","F","A",18.1703470883397
"C","D","F","A",16.2164215749229
"D","D","F","A",14.4926019915439
"E","D","F","A",10.7034345980645
"F","D","F","A",12.9825264355577
"G","D","F","A",10.5494801861042
"H","D","F","A",16.1118978745123
"I","D","F","A",10.1160470352537
"J","D","F","A",9.10284963050915
"K","D","F","A",10.1109930088476
"L","D","F","A",11.337079616237
"M","D","F","A",8.04608511359767
"N","D","F","A",10.9152742568532
"O","D","F","A",9.63887243533594
"P","D","F","A",14.8853253200126
"Q","D","F","A",8.88398702871999
"R","D","F","A",12.3675331402774
"S","D","F","A",6.04751448549121
"T","D","F","A",8.6204667924341
"U","D","F","A",5.48931186588933
"A","E","F","A",3.61854811341937
"B","E","F","A",11.1409013308085
"C","E","F","A",10.5212319118477
"D","E","F","A",10.0243779632478
"E","E","F","A",6.01093198718519
"F","E","F","A",7.48739743986675
"G","E","F","A",7.07984429109529
"H","E","F","A",8.69052929393215
"I","E","F","A",6.03641756643961
"J","E","F","A",6.5492436798776
"K","E","F","A",7.33133103266592
"L","E","F","A",7.87578642996886
"M","E","F","A",6.2163444207229
"N","E","F","A",8.02092340817316
"O","E","F","A",4.7280279687992
"P","E","F","A",9.10855047526905
"Q","E","F","A",7.12616612949176
"R","E","F","A",8.68891629488415
"S","E","F","A",3.85799455385906
"T","E","F","A",6.43844429805046
"U","E","F","A",3.98559464973682
"A","F","F","A",6.25883748951456
"B","F","F","A",11.1731061140717
"C","F","F","A",9.57268865044937
"D","F","F","A",10.9255536731896
"E","F","F","A",7.24066715596819
"F","F","F","A",6.74670340358496
"G","F","F","A",7.21572029801133
"H","F","F","A",7.66241976178051
"I","F","F","A",6.33566921291961
"J","F","F","A",4.76961696868354
"K","F","F","A",6.40897832796221
"L","F","F","A",7.69093994208111
"M","F","F","A",5.61572015509739
"N","F","F","A",7.2274769481312
"O","F","F","A",7.66364144198257
"P","F","F","A",9.21908073186328
"Q","F","F","A",8.18176869959475
"R","F","F","A",11.0413836738264
"S","F","F","A",4.93189750817619
"T","F","F","A",6.78711920989617
"U","F","F","A",3.47057869845722
"A","A","A","B",2.68473340764508
"B","A","A","B",8.10073387114611
"C","A","A","B",9.99581225161216
"D","A","A","B",4.58152800230387
"E","A","A","B",4.21686060445168
"F","A","A","B",5.94431177957163
"G","A","A","B",2.7726223868677
"H","A","A","B",3.45702454132346
"I","A","A","B",5.44249199377231
"J","A","A","B",4.68374892817945
"K","A","A","B",2.20500449311626
"L","A","A","B",5.02421565057102
"M","A","A","B",3.51550922300263
"N","A","A","B",5.92467769734212
"O","A","A","B",4.59094446773233
"P","A","A","B",6.56779362467629
"Q","A","A","B",5.89058471871525
"R","A","A","B",5.14051353446181
"S","A","A","B",2.48047855067761
"T","A","A","B",4.64092108733671
"U","A","A","B",2.74505006165465
"A","B","A","B",3.51586789107485
"B","B","A","B",6.77534937904924
"C","B","A","B",6.84491311876783
"D","B","A","B",4.30669102665058
"E","B","A","B",4.35029817376145
"F","B","A","B",4.91234820157736
"G","B","A","B",2.3734368211553
"H","B","A","B",3.96176737420993
"I","B","A","B",3.88590001588722
"J","B","A","B",3.97452394587657
"K","B","A","B",3.03114086297326
"L","B","A","B",3.5010721215716
"M","B","A","B",3.37744244049817
"N","B","A","B",4.55071182756534
"O","B","A","B",3.19117548431925
"P","B","A","B",4.92304827397083
"Q","B","A","B",4.59465635976077
"R","B","A","B",4.18313962723693
"S","B","A","B",1.83687910402498
"T","B","A","B",3.30222848947503
"U","B","A","B",2.2178700394551
"A","C","A","B",16.7738518178625
"B","C","A","B",24.6943307228679
"C","C","A","B",22.1110366734334
"D","C","A","B",16.9046655161697
"E","C","A","B",18.2350812709703
"F","C","A","B",19.6456956256165
"G","C","A","B",12.6014634849442
"H","C","A","B",20.2017125669063
"I","C","A","B",19.078191900269
"J","C","A","B",15.62473516448
"K","C","A","B",14.8185054130637
"L","C","A","B",12.8437240070063
"M","C","A","B",12.2068991729037
"N","C","A","B",17.2941240064336
"O","C","A","B",16.9095866393747
"P","C","A","B",21.83013719973
"Q","C","A","B",16.2635797054647
"R","C","A","B",17.8168514171148
"S","C","A","B",8.7867695236358
"T","C","A","B",14.1036625750748
"U","C","A","B",9.1684231378726
