"Var1","Var2","Var3","Var4","value"
"K","B","E","A",4.15832572449852
"L","B","E","A",3.53233568017599
"M","B","E","A",3.84460288015048
"N","B","E","A",3.45915455821619
"O","B","E","A",3.37204953748157
"P","B","E","A",2.39436067736728
"Q","B","E","A",3.89156631959879
"R","B","E","A",1.4213451733161
"S","B","E","A",2.14320854105231
"T","B","E","A",1.99808271519618
"U","B","E","A",2.88474490928585
"A","C","E","A",0.51433452190813
"B","C","E","A",0.789479364474806
"C","C","E","A",0.591680841445614
"D","C","E","A",0.80477277476055
"E","C","E","A",0.74750775363545
"F","C","E","A",1.00990867085825
"G","C","E","A",0.579060782061543
"H","C","E","A",0.320853104691029
"I","C","E","A",0.782245738518438
"J","C","E","A",0.96594904387324
"K","C","E","A",1.13338618016744
"L","C","E","A",1.07701710720971
"M","C","E","A",0.848830059814232
"N","C","E","A",0.450569902529537
"O","C","E","A",0.412846712177653
"P","C","E","A",0.79534665162866
"Q","C","E","A",0.945890045700387
"R","C","E","A",0.238063321678036
"S","C","E","A",0.364486861368169
"T","C","E","A",0.309024016483251
"U","C","E","A",0.390956635655274
"A","D","E","A",0.212606959054058
"B","D","E","A",0.492073008185711
"C","D","E","A",0.564389810460982
"D","D","E","A",0.66388859917705
"E","D","E","A",0.319280320172921
"F","D","E","A",0.628978686602919
"G","D","E","A",0.472127316540537
"H","D","E","A",0.102588881833866
"I","D","E","A",0.969879003149203
"J","D","E","A",0.510452956062077
"K","D","E","A",0.674458178848035
"L","D","E","A",0.825750572960075
"M","D","E","A",0.790453891212229
"N","D","E","A",0.338943191324953
"O","D","E","A",0.184757092388312
"P","D","E","A",0.816577288242289
"Q","D","E","A",0.529001371224502
"R","D","E","A",0.0930448820874727
"S","D","E","A",0.241331147140161
"T","D","E","A",0.250334513967569
"U","D","E","A",0.396799968712341
"A","E","E","A",0.552844949439576
"B","E","E","A",0.749242594602399
"C","E","E","A",0.357866664313148
"D","E","E","A",1.05471746512311
"E","E","E","A",0.568958854799459
"F","E","E","A",1.40398462389669
"G","E","E","A",0.707480910637666
"H","E","E","A",0.626280973267308
"I","E","E","A",1.09137378855086
"J","E","E","A",0.75507608772772
"K","E","E","A",0.841394876633867
"L","E","E","A",0.703969196380586
"M","E","E","A",1.08648393203762
"N","E","E","A",0.377653832022546
"O","E","E","A",0.641274793128529
"P","E","E","A",0.74973047480793
"Q","E","E","A",0.861567504489103
"R","E","E","A",0.242739922033237
"S","E","E","A",0.447521576015106
"T","E","E","A",0.236364680871684
"U","E","E","A",0.391579578369814
"A","F","E","A",0.33735224684187
"B","F","E","A",0.281050923335188
"C","F","E","A",0.0147224239243693
"D","F","E","A",0.47691182657712
"E","F","E","A",0.296912213657318
"F","F","E","A",0.59169214291082
"G","F","E","A",0.323806542965522
"H","F","E","A",0.312977340785643
"I","F","E","A",0.969622881213412
"J","F","E","A",0.3120130414996
"K","F","E","A",0.340842152653896
"L","F","E","A",0.392120264704934
"M","F","E","A",0.359099859299088
"N","F","E","A",0.180832409552549
"O","F","E","A",0.0539067579262675
"P","F","E","A",0.58502716971237
"Q","F","E","A",0.467492223478127
"R","F","E","A",0.0754185588793259
"S","F","E","A",0.118585481180057
"T","F","E","A",0.114027573409666
"U","F","E","A",0.099480183265924
"A","A","F","A",0.937777358980423
"B","A","F","A",2.42654969095093
"C","A","F","A",1.445882434595
"D","A","F","A",4.20453454316579
"E","A","F","A",2.43262831302438
"F","A","F","A",3.83073451018273
"G","A","F","A",3.9599507862473
"H","A","F","A",1.99853483779131
"I","A","F","A",3.76320546891705
"J","A","F","A",3.14548726074069
"K","A","F","A",3.14504084156482
"L","A","F","A",5.04822770302835
"M","A","F","A",2.91998493545908
"N","A","F","A",2.63122305447388
"O","A","F","A",3.0642151259805
"P","A","F","A",2.36584546225298
"Q","A","F","A",3.63525779638296
"R","A","F","A",1.17960907857259
"S","A","F","A",1.40861430693823
"T","A","F","A",2.1809345117385
"U","A","F","A",2.48342766365157
"A","B","F","A",1.5421499388408
"B","B","F","A",2.82334388058064
"C","B","F","A",3.59047278428747
"D","B","F","A",3.99133652904185
"E","B","F","A",4.12817316599744
"F","B","F","A",4.10851550314484
"G","B","F","A",4.77622364100945
"H","B","F","A",3.78440011555804
"I","B","F","A",5.12400166873696
"J","B","F","A",4.49471710353004
"K","B","F","A",3.24224784924326
"L","B","F","A",4.56040868959746
"M","B","F","A",2.84884828219512
"N","B","F","A",3.32505801200267
"O","B","F","A",4.24595252766992
"P","B","F","A",3.11831129394525
"Q","B","F","A",3.52155482255947
"R","B","F","A",1.68951985549814
"S","B","F","A",2.09815750442322
"T","B","F","A",2.11205221149562
"U","B","F","A",3.05977781282397
"A","C","F","A",1.04113260473806
"B","C","F","A",0.495336716842445
"C","C","F","A",0.224173379437977
"D","C","F","A",1.18270954183729
"E","C","F","A",0.633102509665627
"F","C","F","A",0.540975624171814
"G","C","F","A",0.997105939859207
"H","C","F","A",0.520970037344654
"I","C","F","A",0.470180532860329
"J","C","F","A",0.710556141365448
"K","C","F","A",0.737948031006102
"L","C","F","A",0.970878612565601
"M","C","F","A",0.818294853844075
"N","C","F","A",0.769808655289004
"O","C","F","A",0.246506519458869
"P","C","F","A",0.489746639503453
"Q","C","F","A",0.602629758423644
"R","C","F","A",0.222959008858265
"S","C","F","A",0.089623273459339
"T","C","F","A",0.581058581530156
"U","C","F","A",0.281749049607492
"A","D","F","A",1.20868709095296
"B","D","F","A",0.797655919403711
"C","D","F","A",0.512670320295523
"D","D","F","A",0.673142760781879
"E","D","F","A",0.663761313975755
"F","D","F","A",0.291463519241824
"G","D","F","A",1.10725451617881
"H","D","F","A",0.775099506482119
"I","D","F","A",1.56624408393493
"J","D","F","A",1.06492371565211
"K","D","F","A",0.784710403914898
"L","D","F","A",0.932147310022358
"M","D","F","A",1.32901353562518
"N","D","F","A",0.333140975204534
"O","D","F","A",0.57232100988658
"P","D","F","A",1.10762527363967
"Q","D","F","A",0.346148085178728
"R","D","F","A",0.16884933407527
"S","D","F","A",0.395456189647244
"T","D","F","A",0.360854656891499
"U","D","F","A",0.578717992746893
"A","E","F","A",0.63265894098964
"B","E","F","A",0.300567212929029
"C","E","F","A",-0.0601034241079406
"D","E","F","A",0.783020313308083
"E","E","F","A",0.273727134601911
"F","E","F","A",0.981923068233471
"G","E","F","A",0.70787524343462
"H","E","F","A",0.905869085052867
"I","E","F","A",0.352460187252226
"J","E","F","A",0.913804889857431
"K","E","F","A",1.1447279546848
"L","E","F","A",0.573016997257266
"M","E","F","A",0.698446556832234
"N","E","F","A",0.584444721741762
"O","E","F","A",0.495171607173412
"P","E","F","A",0.649044795324251
"Q","E","F","A",0.610147590037419
"R","E","F","A",0.163499007467376
"S","E","F","A",0.266790719179731
"T","E","F","A",0.747062404729679
"U","E","F","A",0.583259470331213
"A","F","F","A",0.42510003305484
"B","F","F","A",0.178022652493105
"C","F","F","A",-0.21545929831935
"D","F","F","A",0.508875781440806
"E","F","F","A",0.312037383729116
"F","F","F","A",0.18155798677592
"G","F","F","A",0.72412600864187
"H","F","F","A",0.40414680830784
"I","F","F","A",0.860522528666336
"J","F","F","A",0.495541740382329
"K","F","F","A",0.386809387812347
"L","F","F","A",0.327871589261486
"M","F","F","A",0.433744972192264
"N","F","F","A",0.28662623862497
"O","F","F","A",-0.157678889889379
"P","F","F","A",0.384487920852021
"Q","F","F","A",0.264273695631225
"R","F","F","A",-0.0413986564031812
"S","F","F","A",0.0850282741575388
"T","F","F","A",0.21627769553576
"U","F","F","A",0.194061824979399
"A","A","A","B",0.490140740048849
"B","A","A","B",1.89658284217302
"C","A","A","B",2.11796158556228
"D","A","A","B",2.34033557919545
"E","A","A","B",2.31162166053507
"F","A","A","B",0.321483828040657
"G","A","A","B",0.81799832020983
"H","A","A","B",2.03986435341702
"I","A","A","B",1.62762913395862
"J","A","A","B",3.71921794557479
"K","A","A","B",1.09181357308531
"L","A","A","B",1.683130676879
"M","A","A","B",1.27670308744574
"N","A","A","B",1.03049933390558
"O","A","A","B",0.607173928910248
"P","A","A","B",1.3006424153299
"Q","A","A","B",1.74213971885931
"R","A","A","B",1.29377872121292
"S","A","A","B",1.05603611986032
"T","A","A","B",0.897761964577396
"U","A","A","B",0.954085876037568
"A","B","A","B",0.658159912887895
"B","B","A","B",0.519611615684165
"C","B","A","B",0.706411579384433
"D","B","A","B",0.431763733885067
"E","B","A","B",1.08794449589634
"F","B","A","B",0.571052331335657
"G","B","A","B",0.561868356423796
"H","B","A","B",0.972240551576319
"I","B","A","B",1.30640376336481
"J","B","A","B",2.22107159389836
"K","B","A","B",1.51671049636695
"L","B","A","B",1.38128735536242
"M","B","A","B",1.38904071632339
"N","B","A","B",1.3389695227203
"O","B","A","B",1.35150967564321
"P","B","A","B",0.381841624649783
"Q","B","A","B",0.322679793480554
"R","B","A","B",0.818100078551771
"S","B","A","B",0.569131493542733
"T","B","A","B",0.62556210506763
"U","B","A","B",0.513125610581624
"A","C","A","B",1.98575931593486
"B","C","A","B",2.07465939706069
"C","C","A","B",2.18210323844124
"D","C","A","B",2.15260208035213
"E","C","A","B",2.82765865259951
"F","C","A","B",2.34798384201128
"G","C","A","B",2.4071490327665
"H","C","A","B",2.10854204123847
"I","C","A","B",2.23723564308714
"J","C","A","B",2.32838885960638
"K","C","A","B",2.18910205890901
"L","C","A","B",2.394944208488
"M","C","A","B",2.30631134891729
"N","C","A","B",2.18358466040906
