"day","from","to","value"
"240","4","1",4.812094
"241","4","1",4.9875364
"242","4","1",4.4131627
"243","4","1",4.942674
"244","4","1",4.719551
"245","4","1",4.696587
"246","4","1",4.5607014
"247","4","1",4.201667
"248","4","1",4.3588815
"249","4","1",3.724132
"250","4","1",3.8265169
"251","4","1",4.0756416
"252","4","1",3.829539
"232","5","1",1.6539817
"233","5","1",2.3234255
"234","5","1",2.438784
"235","5","1",2.4996793
"236","5","1",2.237288
"237","5","1",2.1600115
"238","5","1",2.3527145
"239","5","1",2.4087665
"240","5","1",2.202174
"241","5","1",2.3410742
"242","5","1",1.919482
"243","5","1",2.4276369
"244","5","1",2.2829382
"245","5","1",2.1836102
"246","5","1",2.1645968
"247","5","1",1.8593216
"248","5","1",1.948098
"249","5","1",1.6752553
"250","5","1",1.7654307
"251","5","1",1.7960608
"252","5","1",1.7814169
"232","0","2",11.492194
"233","0","2",12.757535
"234","0","2",13.357084
"235","0","2",13.112917
"236","0","2",12.645461
"237","0","2",12.361479
"238","0","2",13.146271
"239","0","2",12.991389
"240","0","2",12.719456
"241","0","2",13.143466
"242","0","2",11.873102
"243","0","2",13.21876
"244","0","2",12.85109
"245","0","2",12.527035
"246","0","2",12.320862
"247","0","2",11.785988
"248","0","2",12.0041065
"249","0","2",11.32919
"250","0","2",11.549536
"251","0","2",11.836327
"252","0","2",11.5813465
"232","1","2",6.2147956
"233","1","2",6.789156
"234","1","2",6.9625597
"235","1","2",6.8634586
"236","1","2",6.9515753
"237","1","2",6.682543
"238","1","2",6.9961233
"239","1","2",6.8673625
"240","1","2",6.91084
"241","1","2",7.0073123
"242","1","2",6.3237023
"243","1","2",7.1441135
"244","1","2",6.8424306
"245","1","2",6.7397118
"246","1","2",6.6034827
"247","1","2",6.219852
"248","1","2",6.4112124
"249","1","2",5.931601
"250","1","2",6.051971
"251","1","2",6.1633964
"252","1","2",5.985457
"232","2","2",2.9271302
"233","2","2",3.3269985
"234","2","2",3.4334369
"235","2","2",3.428029
"236","2","2",3.3653905
"237","2","2",3.1917498
"238","2","2",3.3582375
"239","2","2",3.3397913
"240","2","2",3.325608
"241","2","2",3.5085337
"242","2","2",3.0494823
"243","2","2",3.4365046
"244","2","2",3.2636101
"245","2","2",3.2222877
"246","2","2",3.2222047
"247","2","2",2.9651406
"248","2","2",3.0757854
"249","2","2",2.8543274
"250","2","2",2.7860816
"251","2","2",2.8205967
"252","2","2",2.7813914
"232","3","2",4.6105385
"233","3","2",5.4173193
"234","3","2",5.88087
"235","3","2",5.4828215
"236","3","2",5.368471
"237","3","2",5.0808115
"238","3","2",5.705369
"239","3","2",5.4866447
"240","3","2",5.413965
"241","3","2",5.771618
"242","3","2",4.7265844
"243","3","2",5.777813
"244","3","2",5.469516
"245","3","2",5.144062
"246","3","2",4.996277
"247","3","2",4.688511
"248","3","2",4.822961
"249","3","2",4.4435024
"250","3","2",4.5276403
"251","3","2",4.788314
"252","3","2",4.5175734
"232","4","2",3.949959
"233","4","2",4.4358573
"234","4","2",4.560669
"235","4","2",4.3210726
"236","4","2",4.410515
